date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:08	1342/1342	---MCZ	200	added ('OK')	text/html	etag:W/%221278-17502d6fbc8%22	https://plumegame.com/robots.txt		(from )
12:32:08	4728/4728	---MCZ	200	added ('OK')	text/html	etag:W/%221278-17502d6fbc8%22	https://plumegame.com/	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/index.html	(from )
12:32:09	954062/954062	---MCZ	200	added ('OK')	image/png	etag:W/%22e8ece-17502d6f7e0%22	https://plumegame.com/assets/images/share/facebook.png?v=1.0.0	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/share/facebooke209.png	(from https://plumegame.com/)
12:32:09	693947/693947	---MCZ	200	added ('OK')	image/png	etag:W/%22a96bb-17502d6f7e0%22	https://plumegame.com/assets/images/share/twitter.png?v=1.0.0	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/share/twittere209.png	(from https://plumegame.com/)
12:32:09	63956/63956	---MCZ	200	added ('OK')	text/css	etag:W/%22f9d4-17502d6fbc8%22	https://plumegame.com/build/main.css	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/build/main.css	(from https://plumegame.com/)
12:32:09	1960/1960	---MCZ	200	added ('OK')	image/png	etag:W/%227a8-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-57x57.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-57x57.png	(from https://plumegame.com/)
12:32:10	1964/1964	---MCZ	200	added ('OK')	image/png	etag:W/%227ac-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-60x60.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-60x60.png	(from https://plumegame.com/)
12:32:10	2147/2147	---MCZ	200	added ('OK')	image/png	etag:W/%22863-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-72x72.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-72x72.png	(from https://plumegame.com/)
12:32:10	2225/2225	---MCZ	200	added ('OK')	image/png	etag:W/%228b1-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-76x76.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-76x76.png	(from https://plumegame.com/)
12:32:10	2663/2663	---MCZ	200	added ('OK')	image/png	etag:W/%22a67-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-114x114.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-114x114.png	(from https://plumegame.com/)
12:32:10	2756/2756	---MCZ	200	added ('OK')	image/png	etag:W/%22ac4-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-120x120.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-120x120.png	(from https://plumegame.com/)
12:32:11	3080/3080	---MCZ	200	added ('OK')	image/png	etag:W/%22c08-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-144x144.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-144x144.png	(from https://plumegame.com/)
12:32:11	3243/3243	---MCZ	200	added ('OK')	image/png	etag:W/%22cab-17502d6f7e0%22	https://plumegame.com/assets/images/fav/apple-icon-152x152.png	C:/My%20Web%20Sites/Game%20Love%20Stealer/plumegame.com/assets/images/fav/apple-icon-152x152.png	(from https://plumegame.com/)
